the: то
of: из
and: и
in: в
to: для
a: один
is: является
was: был
for: для
on: на
as: как
that: что
by: по
with: с
it: это
at: по
from: от
this: это
he: он
be: быть
an: в
utc: по Гринвичу
not: не
his: его
i: я
are: являются
or: или
which: что
also: также
has: имеет
were: были
but: но
have: иметь
new: новый
one: один
page: страницы
no: нет
first: первый
you: вы
may: может
had: имел
they: они
who: кто
their: их
all: все
been: были
its: его
article: статья
other: другие
there: там
made: сделал
after: после
references: ссылки
should: следует
talk: говорить
if: если
more: больше
would: будет
two: два
about: о
her: ее
can: может
when: когда
links: ссылки
such: подобные
time: время
she: она
do: делать
discussion: обсуждение
some: некоторые
only: только
see: посмотреть
th: че
into: в
school: школа
so: так
up: вверх
march: марта
world: мир
out: из
during: во время
january: января
most: самое
used: использовать
university: университет
will: будет
over: за
than: чем
history: история
united: Соединенные
de: де
april: апреля
june: июня
then: тогда
list: список
october: октября
july: июля
external: внешние
state: государство
september: сентября
august: августа
national: национальный
city: город
years: лет
december: декабря
november: ноября
where: где
any: любой
delete: удалить
people: люди
these: эти
february: февраль
many: многие
what: что
american: американский
us: нам
being: будучи
diff: разность
use: использовать
user: пользователь
states: государства
year: год
deletion: удаление
him: его
link: ссылка
between: между
them: их
like: как
my: мой
name: название
under: под
film: фильм
contribs: вклад
part: часть
john: Джон
while: а
team: команда
we: мы
st: ст
later: позже
just: просто
three: три
county: округ
war: войны
well: ну
please: пожалуйста
south: Южная
further: далее
work: работа
following: следующим
before: перед
now: сейчас
since: так
born: родился
both: оба
known: известно
through: через
second: второй
articles: статьи
series: серия
season: сезон
because: потому что
however: однако
north: север
music: музыка
high: высокая
review: обзор
group: группа
comments: комментарии
edits: редактирует
me: мне
york: Йорк
ndash: словные
could: может
same: же
including: в том числе
album: альбом
against: против
number: количество
district: район
your: ваш
debate: дискуссии
best: лучшие
area: площадь
life: жизнь
international: Международная
became: стал
here: здесь
league: Лига
family: семья
very: очень
company: компания
game: игры
above: выше
house: дом
wikipedia: Википедия
until: пока
early: рано
several: несколько
it's: это
keep: держать
general: общие
how: как
even: даже
did: сделал
west: Запад
place: место
per: в
each: каждый
sources: источники
does: делает
don't: не
college: колледж
way: путь
released: Выпущено
called: называется
found: найдено
appropriate: уместно
make: сделать
public: общественные
good: хорошо
support: поддержка
added: Добавлено
another: другой
day: день
those: те
back: обратно
party: участник
british: британский
subsequent: последующие
club: клуб
information: информация
much: много
church: церковь
modify: изменить
still: еще
think: думаю
government: правительство
played: играл
town: город
result: результат
times: раз
system: система
end: конец
football: футбол
four: четыре
station: станция
english: английский
show: показать
song: песня
major: майор
book: книга
last: последние
section: раздел
home: дома
former: бывший
original: оригинал
line: линия
below: ниже
east: Восток
river: река
career: карьера
based: на основе
own: собственного
won: выиграл
population: населения
long: длинные
main: главная
point: точка
around: вокруг
member: участник
park: парк
service: услуги
official: официальный
age: возраст
website: сайт
included: включено
band: группа
local: местные
notable: заметные
london: Лондон
located: расположенном
image: изображения
great: большой
said: сказал
order: заказ
single: один
century: века
old: старый
summary: резюме
i'm: я
left: левый
air: воздуха
la: ла
get: получить
within: в
ii: второй
case: дело
games: игры
top: топ
members: участники
although: хотя
undo: отменить
final: финал
site: сайт
published: опубликовано
press: пресс
named: назван
different: разные
village: деревня
title: название
small: небольшой
road: дорога
community: сообщество
due: благодаря
without: без
again: снова
version: версия
player: плеер
set: набор
redirect: перенаправить
overlap: перекрытие
center: центр
using: используя
award: награда
isbn: исбн
law: закон
william: Уильям
president: президент
px: ПХ
death: смерть
right: право
country: страна
research: исследования
am: нахожусь
source: источник
include: включают
art: искусство
cup: Кубок
began: начал
held: провел
down: вниз
km: км
along: вместе
though: хотя
given: дали
division: отдел
off: от
james: Джеймс
large: большие
military: военные
third: третий
french: французский
licensing: лицензирование
take: взять
building: дом
david: Дэвид
took: взял
comment: комментарий
know: знаю
king: король
note: Примечание
having: имея
few: несколько
built: построен
often: часто
education: образование
central: Центральный
army: армия
records: записи
created: создан
record: запись
retrieved: получены
total: общая
need: нужно
news: новости
man: человек
black: черный
power: мощность
project: проект
species: видов
white: белый
development: развитие
died: умер
island: остров
german: немецкий
example: пример
street: улица
current: тока
free: бесплатно
archive: архив
little: мало
george: Джордж
go: идти
form: форма
every: каждый
works: работает
water: воды
five: пять
find: найти
television: телевизор
england: Англия
written: написано
received: получил
help: помогите
according: по
others: другие
edit: редактировать
closed: закрытые
live: жить
near: рядом
association: ассоциации
proposed: предложенный
department: отдел
category: Категория
side: стороны
san: Сан
too: слишком
article's: статьи
society: общество
red: красный
field: поле
served: служил
political: политические
radio: радио
son: сын
never: никогда
view: вид
love: любовь
open: открыть
court: суд
language: язык
council: совет
children: дети
among: среди
play: играть
video: видео
why: почему
office: офис
robert: Роберт
various: различные
business: бизнес
california: Калифорния
days: дней
force: силу
notes: Примечания
championship: чемпионат
books: книги
act: акт
issue: вопрос
royal: королевский
western: западные
union: Союз
next: далее
round: круглый
awards: награды
present: присутствует
france: Франция
australia: Австралия
tv: ТВ
land: земля
text: текст
quality: качество
science: наука
late: поздно
director: директор
young: молодой
date: Дата
program: программа
head: глава
moved: переехал
preserved: сохранились
short: короткое
students: студенты
currently: в настоящее время
museum: музей
canada: Канада
become: стать
india: Индия
report: отчет
subject: тема
period: период
story: история
production: производство
role: роль
episode: эпизод
reason: причина
special: специальные
archived: архивные
media: СМИ
rather: а
region: области
important: важно
established: установлено
michael: Майкл
track: трек
points: очки
thomas: Томас
hall: зал
class: класс
might: может
pages: страницы
million: млн.
northern: Северная
our: наш
say: сказать
paul: Павел
once: один раз
started: начал
came: пришел
making: делая
lost: потеряли
uk: Великобритания
common: общие
battle: битва
change: изменение
america: Америка
election: выборы
social: социальные
policy: политика
services: услуги
either: либо
similar: похожие
nd: НД
european: европейский
pp: ПП
led: светодиодные
rev: оборотов
position: положение
deleted: удален
full: полный
better: лучше
seems: кажется
already: уже
enough: достаточно
assessed: оценка
must: должны
charles: Чарльз
available: доступен
term: термин
route: маршрут
lead: свинец
run: запустить
notability: известности
rock: рок
fact: факт
railway: Железнодорожный
lake: озеро
release: релиз
