despídelos: despídelos
despídela: despídela
despid: despid
despertándose: despertándose
despertadores: Будильники
despertada: проснется
desperdício: desperdício
desperdiciados: потерянных
despeñado: despeñado
despellejarme: despellejarme
despellejado: despellejado
despejo: despejo
despejas: despejas
despejarse: развеять
despejaré: despejaré
despejarás: despejarás
despeiné: despeiné
despeinando: despeinando
despegarse: отклеить
despegarán: стартовать
despegad: despegad
despedio: despedio
despedído: despedído
despedazarte: despedazarte
despedazarla: despedazarla
despedazaría: despedazaría
despedazan: despedazan
despedázalos: despedázalos
despecharme: despecharme
desparramarla: desparramarla
desparramando: desparramando
desparramamos: desparramamos
desparramadas: разбросанных
desparrama: считается
desparejo: нечетный
despareja: неравномерно
desparecieron: desparecieron
desparece: desparece
despachaste: despachaste
despacharme: despacharme
despáchalo: despáchalo
despachadores: диспетчеров
despabila: был признан и получил
desorienté: desorienté
desorientadora: обманчивую
desorganización: дезорганизация
desopilante: desopilante
desolladores: desolladores
desolador: мрачное
desola: погибает в завязавшейся в перестрелке
desoír: проигнорировать
desocupes: desocupes
desobedezco: desobedezco
desobedezcan: desobedezcan
desnugrama: desnugrama
desnúdenlo: desnúdenlo
desnuden: desnuden
desnudé: desnudé
desnudate: desnudate
desnudarlas: desnudarlas
desnucó: desnucó
desmoulins: desmoulins
desmorone: пошатнуться
desmoronaste: desmoronaste
desmoronaría: desmoronaría
desmoronar: сама осыпаться
desmoronan: осыпаются
desmoralizante: деморализует
desmontamos: разбираем
desmontador: desmontador
desmontada: разобрали
desmodulando: desmodulando
desmembrar: расчленять
desmembrados: расчленены
desmembrado: расчленили
desmayará: desmayará
desmayara: desmayara
desmaterializador: desmaterializador
desmarques: desmarques
desmantele: desmantele
desmantelaron: демонтированы
desmanteladas: демонтированы
desmadrosos: desmadrosos
desmadrando: desmadrando
deslomo: deslomo
deslizate: deslizate
deslizaron: тысячи людей
deslizaremos: deslizaremos
deslizada: deslizada
deslizaban: deslizaban
desiumbrante: desiumbrante
desistiera: desistiera
desistiendo: desistiendo
desistido: иск
desistas: отказываться
desire: desire
desionizar: desionizar
desionización: обессоливание
desintoxicarse: desintoxicarse
desintoxicarme: desintoxicarme
desintegras: desintegras
desintegraremos: desintegraremos
desintegrador: дезинтегратором
desintegrada: desintegrada
desinhibida: раскованно
desinhibición: неингибированным
desinformar: дезинформировать
desinformado: неосведомленности
desinformada: заблуждение
desinflar: выкачать
desinfectamos: desinfectamos
desinfectado: продезинфицированный
desilusionarme: desilusionarme
desilusionarás: desilusionarás
desilusionarán: desilusionarán
desilusionará: desilusionará
designer: designer
designé: designé
designamos: получили
desidratada: desidratada
desidia: бездеятельности
deshónrate: deshónrate
deshonraste: deshonraste
deshonrara: deshonrara
deshónrame: deshónrame
deshojaré: deshojaré
deshidrogenado: deshidrogenado
deshidrató: deshidrató
deshidrataras: deshidrataras
desheredó: desheredó
desheredarme: desheredarme
deshechas: отмененные
deshaganse: deshaganse
deshagámosno: deshagámosno
deshaciéndote: deshaciéndote
deshacerla: deshacerla
desgrava: desgrava
desgastan: изнашиваются
desgarrón: desgarrón
desgarraste: desgarraste
desgarraron: срывали
desgarraré: desgarraré
desgarrándome: desgarrándome
desfragmentar: дефрагментация
desfocados: desfocados
desfocado: desfocado
desfilarán: desfilarán
desfilan: парад
desfiladeros: ущелья
desfavorables: неблагоприятные
desfallecido: desfallecido
desfallecen: desfallecen
desfallece: душа замирает
desestimar: отклонить
desestabilizado: дестабилизирована
desesperé: desesperé
desesperarán: desesperarán
desesperanzador: desesperanzador
desesperanzado: отчаяние
desesperaba: desesperaba
deseseperadas: deseseperadas
desérticas: пустынные
deserté: deserté
desertaste: desertaste
desertaba: desertaba
desequilibrar: вывести из равновесия
deseperada: deseperada
deseperacion: deseperacion
desenvuelven: разворачивают свою
desenvolver: развернуть
desenvoltura: поведение
desenvaine: desenvaine
desenvainando: свой
desentrañó: разгадал загадку самой последовательностью
desentrañado: разгадали
desentierro: desentierro
desenterremos: desenterremos
desenterrando: выкапывать
desentendería: desentendería
desenrollo: desenrollo
desenrollan: раскручивают
desenmascaro: desenmascaro
desenmascararla: desenmascararla
desenmascararé: desenmascararé
desengrasar: обезжирить
desengrasante: обезжириватель
desengancharnos: избавляться
desenfundadas: desenfundadas
desenchúfalo: desenchúfalo
desencadenaré: desencadenaré
desencadenando: вызывающий
desencadenada: вызвано
desempolven: desempolven
desempolvar: смахнуть пыль
desempeñarme: выполнять свои обязанности
desempeñado: играл
desempacarás: desempacarás
desempacadocampana: desempacadocampana
desembocadura: устье
desembarcarían: desembarcarían
desembarcando: высадки
desembarca: сойти
desembarazarme: desembarazarme
deséeme: deséeme
desechará: отвергнет
desechadas: выброшены
desechada: выбрасывают
desearnos: desearnos
deséanos: пожелайте нам
deseándolo: deseándolo
desdobla: desdobla
desdichas: терпят страдания
desdichadas: неприятными
desdichadamente: к сожалению
desdice: desdice
desdentados: адентией
desdentada: беззубым
desdeñoso: пренебрежительное
desdeñar: презреть
desdeñada: desdeñada
desdémona: desdémona
descuidaron: они пренебрегали своей обязанностью проявлять
descuidaría: descuidaría
descuidara: descuidara
descuerizador: descuerizador
descuelgue: трубку
descubririan: descubririan
descubriran: descubriran
descubriéndose: descubriéndose
descubridor: первооткрыватель
descubríamos: обнаруживалось
descúbrala: descúbrala
descuartizarte: descuartizarte
descuartizaré: descuartizaré
descuartizar: сократить
descuartiza: критикуют
descriptos: описаны
describírmelas: describírmelas
describiera: описывал
describi: describi
descríbalo: опишите его
descoyuntado: descoyuntado
descosidos: descosidos
descortez: вопрос
descorazonadamente: descorazonadamente
descorazonada: descorazonada
descontrolarme: descontrolarme
descontó: списаны
descontare: descontare
descontarán: удержаны
desconsiderados: desconsiderados
descongelaremos: descongelaremos
descongelando: размораживания
desconfié: desconfié
desconfiados: недоверчивы
desconfia: desconfia
desconectemos: desconectemos
desconectare: desconectare
desconéctala: desconéctala
desconcertarte: desconcertarte
desconcertaba: это был загадочным
desconcentremos: desconcentremos
desconcentré: desconcentré
desconcentrarás: desconcentrarás
desconcentrando: desconcentrando
descomposicion: descomposicion
descompongo: descompongo
descompondrá: descompondrá
descompensa: descompensa
descolorida: бесцветную
descodificar: раскодировать
descifró: расшифровал
